,Name,StartDate,EndDate,FIRs
0,AREY SUB PS,01102025,31102025,14
1,AGRIPADA,01102025,31102025,52
2,AIR PORT,01102025,31102025,8
3,ANDHERI,01102025,31102025,37
4,AZAD MAIDAN,01102025,31102025,21
5,BANDRA,01102025,31102025,127
6,BHANDUP,01102025,31102025,84
7,BHOIWADA,01102025,31102025,19
8,BORIWALI,01102025,31102025,68
9,BYCULLA,01102025,31102025,85
10,CHEMBUR,01102025,31102025,44
11,COLABA,01102025,31102025,20
12,DADAR,01102025,31102025,63
13,DHARAVI,01102025,31102025,121
14,DONGRI,01102025,31102025,44
15,GAMDEVI,01102025,31102025,214
16,GHATKOPAR,01102025,31102025,92
17,GOREGAON,01102025,31102025,58
18,JOGESHWARI,01102025,31102025,28
19,KALACHOWKI,01102025,31102025,48
20,KANDIVALI (WEST),01102025,31102025,65
21,KHERWADI,01102025,31102025,32
22,KURLA,01102025,31102025,56
23,D.B.MARG,01102025,31102025,167
24,LT MARG,01102025,31102025,122
25,MAHIM,01102025,31102025,40
26,MALAD,01102025,31102025,146
27,MATUNGA,01102025,31102025,27
28,MULUND (WEST),01102025,31102025,78
29,NAGPADA,01102025,31102025,71
30,NM JOSHI MARG,01102025,31102025,30
31,M R A MARG,01102025,31102025,35
32,PYDHONIE,01102025,31102025,240
33,SANTACRUZ,01102025,31102025,95
34,SEWRI,01102025,31102025,45
35,TILAK NAGAR,01102025,31102025,41
36,VIKHROLI,01102025,31102025,34
37,VILE PARLE,01102025,31102025,76
38,V.P.ROAD,01102025,31102025,138
39,WADALA,01102025,31102025,21
40,WORLI,01102025,31102025,62
41,YELLOWGATE,01102025,31102025,2
42,VAKOLA,01102025,31102025,73
43,TROMBAY,01102025,31102025,51
44,MALVANI,01102025,31102025,106
45,SAKINAKA,01102025,31102025,84
46,DAHISAR,01102025,31102025,86
47,D.N.NAGAR,01102025,31102025,71
48,R.A KIDWAI MARG,01102025,31102025,25
49,TARDEO,01102025,31102025,54
50,SAHAR,01102025,31102025,54
51,ANTOP HILL,01102025,31102025,45
52,DEONAR,01102025,31102025,48
53,JUHU,01102025,31102025,90
54,KANJUR MARG,01102025,31102025,21
55,NIRMAL NAGAR,01102025,31102025,70
56,MIDC,01102025,31102025,84
57,KASTURBA SUB PS,01102025,31102025,39
58,NEHRU NAGAR,01102025,31102025,50
59,R C F,01102025,31102025,46
60,PANT NAGAR,01102025,31102025,80
61,DINDOSHI,01102025,31102025,66
62,KHAR,01102025,31102025,102
63,CUFFE-PARADE,01102025,31102025,18
64,OSHIWARA,01102025,31102025,151
65,PARK SITE,01102025,31102025,58
66,SHIVAJI NAGAR,01102025,31102025,91
67,SIR JJ MARG,01102025,31102025,77
68,SHIVAJI PARK,01102025,31102025,63
69,MALABAR HILL,01102025,31102025,85
70,MEGHWADI,01102025,31102025,30
71,SION,01102025,31102025,25
72,KURAR,01102025,31102025,64
73,MHB COLONY,01102025,31102025,72
74,NAVGHAR,01102025,31102025,25
75,SHAHU NAGAR,01102025,31102025,48
76,VERSOVA,01102025,31102025,75
77,MARINE DRIVE,01102025,31102025,26
78,WADALA TT,01102025,31102025,106
79,BANDRA-KURLA COMPLEX,01102025,31102025,56
80,POWAI,01102025,31102025,88
81,CHARCOP,01102025,31102025,31
82,VINOBA BHAVE NAGAR,01102025,31102025,59
83,GORAI,01102025,31102025,8
84,BANGUR NAGAR,01102025,31102025,56
85,SAMTA NAGAR,01102025,31102025,77
86,Mumbai Sagri Police Station,01102025,31102025,0
87,GOVANDI POLICE STATION,01102025,31102025,39
88,MANKHURD POLICE STATION,01102025,31102025,37
89,CHUNABHATTI POLICE STATION,01102025,31102025,51
90,AMBOLI,01102025,31102025,73
91,VANRAI POLICE STATION,01102025,31102025,48
92,Mumbai Sagri-2 Police Station,01102025,31102025,0
93,CYBER POLICE STATION WEST REGION,01102025,31102025,31
94,CYBER POLICE STATION EAST REGION,01102025,31102025,18
95,CYBER POLICE STATION CENTRAL REGION,01102025,31102025,19
96,CYBER POLICE STATION NORTH REGION,01102025,31102025,31
97,CYBER POLICE STATION SOUTH REGION,01102025,31102025,3
